,country,code,indicator,time,value
73,Germany,DEU,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
74,Ghana,GHA,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
75,Gibraltar,GIB,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
76,Greece,GRC,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
77,Greenland,GRL,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
78,Grenada,GRD,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
79,Guam,GUM,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
80,Guatemala,GTM,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,15609
81,Guinea,GIN,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
82,Guinea-Bissau,GNB,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
83,Guyana,GUY,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
84,Haiti,HTI,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
85,Honduras,HND,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
86,"Hong Kong SAR, China",HKG,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
87,Hungary,HUN,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
88,Iceland,ISL,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
89,India,IND,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
90,Indonesia,IDN,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,248220
91,"Iran, Islamic Rep.",IRN,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
92,Iraq,IRQ,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
93,Ireland,IRL,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
94,Isle of Man,IMN,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
95,Israel,ISR,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
96,Italy,ITA,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
97,Jamaica,JAM,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
98,Japan,JPN,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
99,Jordan,JOR,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
100,Kazakhstan,KAZ,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
101,Kenya,KEN,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,7795
102,Kiribati,KIR,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
103,"Korea, Dem. People’s Rep.",PRK,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
104,"Korea, Rep.",KOR,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
105,Kosovo,XKX,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
106,Kuwait,KWT,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
107,Kyrgyz Republic,KGZ,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
108,Lao PDR,LAO,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
109,Latvia,LVA,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
110,Lebanon,LBN,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,NA
111,Lesotho,LSO,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,402
112,Liberia,LBR,"Enrolment in tertiary education, all programmes, both sexes (number)",1970,1109
