,country,code,indicator,time,value
2522,Mozambique,MOZ,"Enrolment in tertiary education, all programmes, both sexes (number)",1981,1000
2523,Myanmar,MMR,"Enrolment in tertiary education, all programmes, both sexes (number)",1981,163197
2524,Namibia,NAM,"Enrolment in tertiary education, all programmes, both sexes (number)",1981,NA
2525,Nauru,NRU,"Enrolment in tertiary education, all programmes, both sexes (number)",1981,NA
2526,Nepal,NPL,"Enrolment in tertiary education, all programmes, both sexes (number)",1981,51356
2527,Netherlands,NLD,"Enrolment in tertiary education, all programmes, both sexes (number)",1981,360033
2528,New Caledonia,NCL,"Enrolment in tertiary education, all programmes, both sexes (number)",1981,421
2529,New Zealand,NZL,"Enrolment in tertiary education, all programmes, both sexes (number)",1981,80715
2530,Nicaragua,NIC,"Enrolment in tertiary education, all programmes, both sexes (number)",1981,NA
2531,Niger,NER,"Enrolment in tertiary education, all programmes, both sexes (number)",1981,1435
2532,Nigeria,NGA,"Enrolment in tertiary education, all programmes, both sexes (number)",1981,150072
2533,Northern Mariana Islands,MNP,"Enrolment in tertiary education, all programmes, both sexes (number)",1981,NA
2534,Norway,NOR,"Enrolment in tertiary education, all programmes, both sexes (number)",1981,79117
2535,Oman,OMN,"Enrolment in tertiary education, all programmes, both sexes (number)",1981,18
2536,Pakistan,PAK,"Enrolment in tertiary education, all programmes, both sexes (number)",1981,NA
2537,Palau,PLW,"Enrolment in tertiary education, all programmes, both sexes (number)",1981,NA
2538,Panama,PAN,"Enrolment in tertiary education, all programmes, both sexes (number)",1981,42425
2539,Papua New Guinea,PNG,"Enrolment in tertiary education, all programmes, both sexes (number)",1981,NA
2540,Paraguay,PRY,"Enrolment in tertiary education, all programmes, both sexes (number)",1981,28792
2541,Peru,PER,"Enrolment in tertiary education, all programmes, both sexes (number)",1981,362857
2542,Philippines,PHL,"Enrolment in tertiary education, all programmes, both sexes (number)",1981,1276016
2543,Poland,POL,"Enrolment in tertiary education, all programmes, both sexes (number)",1981,589134
2544,Portugal,PRT,"Enrolment in tertiary education, all programmes, both sexes (number)",1981,92152
2545,Puerto Rico,PRI,"Enrolment in tertiary education, all programmes, both sexes (number)",1981,131184
2546,Qatar,QAT,"Enrolment in tertiary education, all programmes, both sexes (number)",1981,2269
2547,Romania,ROU,"Enrolment in tertiary education, all programmes, both sexes (number)",1981,192769
2548,Russian Federation,RUS,"Enrolment in tertiary education, all programmes, both sexes (number)",1981,5687300
2549,Rwanda,RWA,"Enrolment in tertiary education, all programmes, both sexes (number)",1981,1243
2550,Samoa,WSM,"Enrolment in tertiary education, all programmes, both sexes (number)",1981,644
2551,San Marino,SMR,"Enrolment in tertiary education, all programmes, both sexes (number)",1981,NA
2552,Sao Tome and Principe,STP,"Enrolment in tertiary education, all programmes, both sexes (number)",1981,NA
2553,Saudi Arabia,SAU,"Enrolment in tertiary education, all programmes, both sexes (number)",1981,62074
2554,Senegal,SEN,"Enrolment in tertiary education, all programmes, both sexes (number)",1981,13626
2555,Serbia,SRB,"Enrolment in tertiary education, all programmes, both sexes (number)",1981,NA
2556,Seychelles,SYC,"Enrolment in tertiary education, all programmes, both sexes (number)",1981,NA
2557,Sierra Leone,SLE,"Enrolment in tertiary education, all programmes, both sexes (number)",1981,2166
2558,Singapore,SGP,"Enrolment in tertiary education, all programmes, both sexes (number)",1981,25705
2559,Sint Maarten (Dutch part),SXM,"Enrolment in tertiary education, all programmes, both sexes (number)",1981,NA
2560,Slovak Republic,SVK,"Enrolment in tertiary education, all programmes, both sexes (number)",1981,NA
2561,Slovenia,SVN,"Enrolment in tertiary education, all programmes, both sexes (number)",1981,27707
2562,Solomon Islands,SLB,"Enrolment in tertiary education, all programmes, both sexes (number)",1981,NA
2563,Somalia,SOM,"Enrolment in tertiary education, all programmes, both sexes (number)",1981,NA
2564,South Africa,ZAF,"Enrolment in tertiary education, all programmes, both sexes (number)",1981,NA
2565,South Sudan,SSD,"Enrolment in tertiary education, all programmes, both sexes (number)",1981,NA
2566,Spain,ESP,"Enrolment in tertiary education, all programmes, both sexes (number)",1981,697789
2567,Sri Lanka,LKA,"Enrolment in tertiary education, all programmes, both sexes (number)",1981,44247
2568,St. Kitts and Nevis,KNA,"Enrolment in tertiary education, all programmes, both sexes (number)",1981,NA
2569,St. Lucia,LCA,"Enrolment in tertiary education, all programmes, both sexes (number)",1981,301
2570,St. Martin (French part),MAF,"Enrolment in tertiary education, all programmes, both sexes (number)",1981,NA
2571,St. Vincent and the Grenadines,VCT,"Enrolment in tertiary education, all programmes, both sexes (number)",1981,NA
2572,Sudan,SDN,"Enrolment in tertiary education, all programmes, both sexes (number)",1981,NA
2573,Suriname,SUR,"Enrolment in tertiary education, all programmes, both sexes (number)",1981,2378
2575,Sweden,SWE,"Enrolment in tertiary education, all programmes, both sexes (number)",1981,171356
2576,Switzerland,CHE,"Enrolment in tertiary education, all programmes, both sexes (number)",1981,85127
2577,Syrian Arab Republic,SYR,"Enrolment in tertiary education, all programmes, both sexes (number)",1981,140180
2578,Tajikistan,TJK,"Enrolment in tertiary education, all programmes, both sexes (number)",1981,96900
2579,Tanzania,TZA,"Enrolment in tertiary education, all programmes, both sexes (number)",1981,NA
2580,Thailand,THA,"Enrolment in tertiary education, all programmes, both sexes (number)",1981,361400
2581,Timor-Leste,TLS,"Enrolment in tertiary education, all programmes, both sexes (number)",1981,NA
2582,Togo,TGO,"Enrolment in tertiary education, all programmes, both sexes (number)",1981,4750
2583,Tonga,TON,"Enrolment in tertiary education, all programmes, both sexes (number)",1981,693
2584,Trinidad and Tobago,TTO,"Enrolment in tertiary education, all programmes, both sexes (number)",1981,5649
2585,Tunisia,TUN,"Enrolment in tertiary education, all programmes, both sexes (number)",1981,31827
2586,Turkey,TUR,"Enrolment in tertiary education, all programmes, both sexes (number)",1981,246183
2587,Turkmenistan,TKM,"Enrolment in tertiary education, all programmes, both sexes (number)",1981,69800
2588,Turks and Caicos Islands,TCA,"Enrolment in tertiary education, all programmes, both sexes (number)",1981,NA
2589,Tuvalu,TUV,"Enrolment in tertiary education, all programmes, both sexes (number)",1981,NA
2590,Uganda,UGA,"Enrolment in tertiary education, all programmes, both sexes (number)",1981,6563
2591,Ukraine,UKR,"Enrolment in tertiary education, all programmes, both sexes (number)",1981,1683500
2592,United Arab Emirates,ARE,"Enrolment in tertiary education, all programmes, both sexes (number)",1981,2861
2593,United Kingdom,GBR,"Enrolment in tertiary education, all programmes, both sexes (number)",1981,827146
2594,United States,USA,"Enrolment in tertiary education, all programmes, both sexes (number)",1981,12096895
2595,Uruguay,URY,"Enrolment in tertiary education, all programmes, both sexes (number)",1981,40677
2596,Uzbekistan,UZB,"Enrolment in tertiary education, all programmes, both sexes (number)",1981,NA
2597,Vanuatu,VUT,"Enrolment in tertiary education, all programmes, both sexes (number)",1981,NA
2598,"Venezuela, RB",VEN,"Enrolment in tertiary education, all programmes, both sexes (number)",1981,307133
2599,Vietnam,VNM,"Enrolment in tertiary education, all programmes, both sexes (number)",1981,114701
2600,Virgin Islands (U.S.),VIR,"Enrolment in tertiary education, all programmes, both sexes (number)",1981,2148
2601,West Bank and Gaza,PSE,"Enrolment in tertiary education, all programmes, both sexes (number)",1981,NA
2602,"Yemen, Rep.",YEM,"Enrolment in tertiary education, all programmes, both sexes (number)",1981,NA
2603,Zambia,ZMB,"Enrolment in tertiary education, all programmes, both sexes (number)",1981,7541
2604,Zimbabwe,ZWE,"Enrolment in tertiary education, all programmes, both sexes (number)",1981,12226
2605,Afghanistan,AFG,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,19652
2606,Albania,ALB,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,NA
2607,Algeria,DZA,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,NA
2608,American Samoa,ASM,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,987
2609,Andorra,AND,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,NA
2610,Angola,AGO,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,NA
2611,Antigua and Barbuda,ATG,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,NA
2612,Argentina,ARG,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,550556
2613,Armenia,ARM,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,NA
2614,Aruba,ABW,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,NA
2615,Australia,AUS,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,337953
2616,Austria,AUT,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,140720
2617,Azerbaijan,AZE,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,NA
2618,"Bahamas, The",BHS,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,3963
2619,Bahrain,BHR,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,2348
2620,Bangladesh,BGD,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,297930
2621,Barbados,BRB,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,4938
2622,Belarus,BLR,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,341600
2623,Belgium,BEL,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,213281
2624,Belize,BLZ,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,NA
2625,Benin,BEN,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,5680
2626,Bermuda,BMU,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,NA
2627,Bhutan,BTN,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,NA
2628,Bolivia,BOL,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,NA
2629,Bosnia and Herzegovina,BIH,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,NA
2630,Botswana,BWA,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,1317
2631,Brazil,BRA,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,1436287
2632,British Virgin Islands,VGB,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,NA
2633,Brunei Darussalam,BRN,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,NA
2634,Bulgaria,BGR,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,97785
2635,Burkina Faso,BFA,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,2568
2636,Burundi,BDI,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,2068
2637,Cabo Verde,CPV,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,NA
2638,Cambodia,KHM,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,602
2639,Cameroon,CMR,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,12510
2640,Canada,CAN,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,NA
2641,Cayman Islands,CYM,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,NA
2642,Central African Republic,CAF,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,2549
2643,Chad,TCD,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,NA
2644,Channel Islands,CHI,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,NA
2645,Chile,CHL,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,158117
2646,China,CHN,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,NA
2647,Colombia,COL,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,335833
2648,Comoros,COM,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,NA
2649,"Congo, Dem. Rep.",COD,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,33901
2650,"Congo, Rep.",COG,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,8886
2651,Costa Rica,CRI,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,58974
2652,Cote d'Ivoire,CIV,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,18732
2653,Croatia,HRV,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,NA
2654,Cuba,CUB,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,165496
2655,Curacao,CUW,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,NA
2656,Cyprus,CYP,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,1977
2657,Czech Republic,CZE,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,118881
2658,Denmark,DNK,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,106669
2659,Djibouti,DJI,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,NA
2660,Dominica,DMA,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,NA
2661,Dominican Republic,DOM,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,NA
2662,Ecuador,ECU,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,261075
2663,"Egypt, Arab Rep.",EGY,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,778216
2664,El Salvador,SLV,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,46976
2665,Equatorial Guinea,GNQ,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,1140
2666,Eritrea,ERI,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,NA
2667,Estonia,EST,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,NA
2668,Ethiopia,ETH,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,14985
2669,Faroe Islands,FRO,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,NA
2670,Fiji,FJI,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,2016
2671,Finland,FIN,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,124831
2672,France,FRA,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,1150055
2673,French Polynesia,PYF,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,37
2674,Gabon,GAB,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,NA
2675,"Gambia, The",GMB,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,NA
2676,Georgia,GEO,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,NA
2677,Germany,DEU,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,NA
2678,Ghana,GHA,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,16161
2679,Gibraltar,GIB,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,NA
2680,Greece,GRC,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,124694
2681,Greenland,GRL,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,NA
2682,Grenada,GRD,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,926
2683,Guam,GUM,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,5127
2684,Guatemala,GTM,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,NA
2685,Guinea,GIN,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,13161
2686,Guinea-Bissau,GNB,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,NA
2687,Guyana,GUY,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,2746
2688,Haiti,HTI,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,NA
2689,Honduras,HND,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,33279
2690,"Hong Kong SAR, China",HKG,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,63971
2691,Hungary,HUN,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,102564
2692,Iceland,ISL,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,4627
2693,India,IND,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,3411105
2694,Indonesia,IDN,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,565501
2695,"Iran, Islamic Rep.",IRN,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,NA
2696,Iraq,IRQ,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,116294
2697,Ireland,IRL,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,59824
2698,Isle of Man,IMN,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,NA
2699,Israel,ISR,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,107583
2700,Italy,ITA,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,NA
2701,Jamaica,JAM,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,NA
2702,Japan,JPN,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,2402725
2703,Jordan,JOR,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,45196
2704,Kazakhstan,KAZ,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,NA
2705,Kenya,KEN,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,NA
2706,Kiribati,KIR,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,NA
2707,"Korea, Dem. People’s Rep.",PRK,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,NA
2708,"Korea, Rep.",KOR,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,829915
2709,Kosovo,XKX,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,NA
2710,Kuwait,KWT,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,15725
2711,Kyrgyz Republic,KGZ,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,NA
2712,Lao PDR,LAO,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,2894
2713,Latvia,LVA,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,47230
2714,Lebanon,LBN,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,70314
2715,Lesotho,LSO,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,1397
2716,Liberia,LBR,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,NA
2717,Libya,LBY,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,23767
2718,Liechtenstein,LIE,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,NA
2719,Lithuania,LTU,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,NA
2720,Luxembourg,LUX,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,699
2721,"Macao SAR, China",MAC,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,NA
2723,Madagascar,MDG,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,30000
2724,Malawi,MWI,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,2676
2725,Malaysia,MYS,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,67368
2726,Maldives,MDV,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,NA
2727,Mali,MLI,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,4498
2728,Malta,MLT,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,934
2729,Marshall Islands,MHL,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,NA
2730,Mauritania,MRT,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,NA
2731,Mauritius,MUS,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,926
2732,Mexico,MEX,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,998397
2733,"Micronesia, Fed. Sts.",FSM,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,1602
2734,Moldova,MDA,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,NA
2735,Monaco,MCO,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,NA
2736,Mongolia,MNG,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,43854
2737,Montenegro,MNE,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,NA
2738,Morocco,MAR,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,125804
2739,Mozambique,MOZ,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,1266
2740,Myanmar,MMR,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,165000
2741,Namibia,NAM,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,NA
2742,Nauru,NRU,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,NA
2743,Nepal,NPL,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,52070
2744,Netherlands,NLD,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,371515
2745,New Caledonia,NCL,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,715
2746,New Zealand,NZL,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,82666
2747,Nicaragua,NIC,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,32838
2748,Niger,NER,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,1853
2749,Nigeria,NGA,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,176904
2750,Northern Mariana Islands,MNP,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,NA
2751,Norway,NOR,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,82511
2752,Oman,OMN,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,14
2753,Pakistan,PAK,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,NA
2754,Palau,PLW,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,NA
2755,Panama,PAN,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,45060
2756,Papua New Guinea,PNG,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,NA
2757,Paraguay,PRY,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,30207
2758,Peru,PER,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,379193
2759,Philippines,PHL,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,1335889
2760,Poland,POL,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,544895
2761,Portugal,PRT,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,94958
2762,Puerto Rico,PRI,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,137171
2763,Qatar,QAT,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,2981
2764,Romania,ROU,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,190903
2765,Russian Federation,RUS,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,5654400
2766,Rwanda,RWA,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,NA
2767,Samoa,WSM,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,NA
2768,San Marino,SMR,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,NA
2769,Sao Tome and Principe,STP,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,NA
2770,Saudi Arabia,SAU,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,70657
2771,Senegal,SEN,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,12668
2772,Serbia,SRB,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,NA
2773,Seychelles,SYC,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,NA
2774,Sierra Leone,SLE,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,NA
2775,Singapore,SGP,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,30966
2776,Sint Maarten (Dutch part),SXM,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,NA
2777,Slovak Republic,SVK,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,NA
2778,Slovenia,SVN,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,26207
2779,Solomon Islands,SLB,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,NA
2780,Somalia,SOM,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,NA
2781,South Africa,ZAF,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,NA
2782,South Sudan,SSD,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,NA
2783,Spain,ESP,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,721806
2784,Sri Lanka,LKA,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,57352
2785,St. Kitts and Nevis,KNA,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,NA
2786,St. Lucia,LCA,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,367
2787,St. Martin (French part),MAF,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,NA
2788,St. Vincent and the Grenadines,VCT,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,NA
2789,Sudan,SDN,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,NA
2790,Suriname,SUR,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,2684
2792,Sweden,SWE,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,176115
2793,Switzerland,CHE,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,88385
2794,Syrian Arab Republic,SYR,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,145496
2795,Tajikistan,TJK,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,NA
2796,Tanzania,TZA,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,4389
2797,Thailand,THA,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,911166
2798,Timor-Leste,TLS,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,NA
2799,Togo,TGO,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,4307
2800,Tonga,TON,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,NA
2801,Trinidad and Tobago,TTO,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,5754
2802,Tunisia,TUN,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,32832
2803,Turkey,TUR,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,254446
2804,Turkmenistan,TKM,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,NA
2805,Turks and Caicos Islands,TCA,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,NA
2806,Tuvalu,TUV,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,NA
2807,Uganda,UGA,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,7312
2808,Ukraine,UKR,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,1678100
2809,United Arab Emirates,ARE,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,3407
2810,United Kingdom,GBR,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,858416
2811,United States,USA,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,12371672
2812,Uruguay,URY,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,53417
2813,Uzbekistan,UZB,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,NA
2814,Vanuatu,VUT,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,NA
2815,"Venezuela, RB",VEN,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,331115
2816,Vietnam,VNM,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,NA
2817,Virgin Islands (U.S.),VIR,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,2608
2818,West Bank and Gaza,PSE,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,NA
2819,"Yemen, Rep.",YEM,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,NA
2820,Zambia,ZMB,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,8062
2821,Zimbabwe,ZWE,"Enrolment in tertiary education, all programmes, both sexes (number)",1982,14926
2822,Afghanistan,AFG,"Enrolment in tertiary education, all programmes, both sexes (number)",1983,NA
2823,Albania,ALB,"Enrolment in tertiary education, all programmes, both sexes (number)",1983,17500
2824,Algeria,DZA,"Enrolment in tertiary education, all programmes, both sexes (number)",1983,NA
2825,American Samoa,ASM,"Enrolment in tertiary education, all programmes, both sexes (number)",1983,1007
2826,Andorra,AND,"Enrolment in tertiary education, all programmes, both sexes (number)",1983,NA
2827,Angola,AGO,"Enrolment in tertiary education, all programmes, both sexes (number)",1983,NA
2828,Antigua and Barbuda,ATG,"Enrolment in tertiary education, all programmes, both sexes (number)",1983,NA
2829,Argentina,ARG,"Enrolment in tertiary education, all programmes, both sexes (number)",1983,580626
2830,Armenia,ARM,"Enrolment in tertiary education, all programmes, both sexes (number)",1983,NA
2831,Aruba,ABW,"Enrolment in tertiary education, all programmes, both sexes (number)",1983,NA
