Country Name,Country Code,Indicator Name,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
Belarus,BLR,"Enrolment in tertiary education, all programmes, both sexes (number)",,286134,,,,,314603,,,,334881,342917,341600,344300,345100,346600,342400,337200,333400,330891,339523,335294,313500,312339,299640,292800,322985,328746,361033,387347,411861,437995,463544,488650,507360,528508,544328,556526,544434,554060,568772,584846,587958,562168,517578,477221,,,,,,,,,,,,,,,,,,,
Belgium,BEL,"Enrolment in tertiary education, all programmes, both sexes (number)",,124857,127275,141002,148628,152129,,,187382,200136,198745,196153,213281,219591,226890,245762,247499,252236,254329,260608,271007,276248,,307130,322364,352630,358214,,,351788,355748,359265,366982,374532,386110,389547,394427,393687,401652,425219,445309,462419,477712,488488,495910,504745,,,,,,,,,,,,,,,,,,,
Belize,BLZ,"Enrolment in tertiary education, all programmes, both sexes (number)",,113,96,,110,121,,,,,,,,,,,,,,,,,,,,,,,,,,3760,4394,4341,4319,4571,4931,5362,5775,6972,7008,7223,8280,8470,,8562,,,,,,,,,,,,,,,,,,,
Benin,BEN,"Enrolment in tertiary education, all programmes, both sexes (number)",,311,582,1088,1911,1900,2118,2893,3292,3013,3390,4822,5680,6369,6818,7305,9063,8870,8883,9759,9200,10873,10611,9964,10586,10986,11227,14055,,19094,22415,28075,34336,39406,41282,42197,50225,61780,62910,82402,114382,110181,123286,145464,,,,,,,,,,,,,,,,,,,,,
Bermuda,BMU,"Enrolment in tertiary education, all programmes, both sexes (number)",,,,,,,,,,431,567,608,,,,,,,,,,,,,,,,,,,,,,,,,1208,1081,1092,1366,1269,1313,1278,1207,1108,973,,,,,,,,,,,,,,,,,,,
Bhutan,BTN,"Enrolment in tertiary education, all programmes, both sexes (number)",,,,,,,,,140,264,322,,,288,,,,,,,,,,,,,,,,1479,,,,,,3553,3820,4190,5051,4926,5499,6863,7400,8543,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,"Enrolment in tertiary education, all programmes, both sexes (number)",35250,33137,31895,35165,44890,,,,,,,,,,,,,,,128800,,,,,,,188645,,228168,252706,278763,301984,311015,337914,346056,,,352554,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH,"Enrolment in tertiary education, all programmes, both sexes (number)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57722,63425,64629,70671,77009,84422,91263,99557,104938,105488,105137,107537,107083,112607,111970,108475,,,,,,,,,,,,,,,,,,,
Botswana,BWA,"Enrolment in tertiary education, all programmes, both sexes (number)",0,0,179,244,289,469,527,622,762,860,1078,1137,1317,1435,1693,1938,2378,2731,,,,5364,,6830,7728,7920,8850,,10247,11246,13088,14582,15641,18608,20011,19655,21738,22257,31129,47889,42366,37859,46613,57447,55128,60583,51573,,,,,,,,,,,,,,,,,,
Brazil,BRA,"Enrolment in tertiary education, all programmes, both sexes (number)",430473,569230,696215,785159,954674,1089808,1119849,1182411,1251116,1340662,1409243,1419426,1436287,1479397,,,1451191,1470555,1503560,1518904,1540080,1619310,1591176,1652333,1716263,,1868529,,2203599,2456961,2781328,3125745,3582105,3994422,4275027,4572297,,5272877,5958135,6115138,6552707,6929324,7241405,7541112,8072146,8285475,,,,,,,,,,,,,,,,,,,
